(E)2003-61@@http://dx.doi.org/10.1080/01650424.2011.597405@     ception trap/K. A. Jackson D. Carpenter BMNH{E}2003–61’’ (BMNH). Paratype: 1<, same
B.M. 1927-63@Pseudochironomous @http://dx.doi.org/10.1080/01650420902787556@     Museum (Natural History) (BMNH). A male, identiﬁed from a mixed sample, will
1965-868  @Chalcides thierryi@http://dx.doi.org/10.1080/11250000409356604@     frontal. Museum abbreviations: BMNH, British Museum (Natural             in the sand, as demonstrated by their sharply pointed
1955.6.N.20.4915@Tyto multipunctata@http://dx.doi.org/10.1080/11250003.2012.663003@     Tytonidae                         Tyto multipunctata                                 NHMT                     1955.6.N.20.4915
75.4.19.4@Tyto t. tenebricosa@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Tyto t. tenebricosa                                NHMT                     75.4.19.4
83.5.30.89@Tyto sororcula@http://dx.doi.org/10.1080/11250003.2012.663003@                                      Tyto sororcula                                     NHMT                     83.5.30.89
14843@Tyto aurantia @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Tyto aurantia                                      NHMT                     14843
98.5.17.11@Tyto n. novaehollandiae @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Tyto n. novaehollandiae                            NHMT                     98.5.17.11
91.6.16.52@Tyto castanops@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Tyto castanops                                     NHMT                     91.6.16.52
87.11.11.344@Tyto rosenbergii@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Tyto rosenbergii                                   NHMT                     87.11.11.344
79.3.5.25@Tyto soumagnei @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Tyto soumagnei                                     NHMT                     79.3.5.25
1927.1.24.10@Tyto glaucops@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Tyto glaucops                                      NHMT                     1927.1.24.10
94.8.15.90@Tyto c. capensis  @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Tyto c. capensis                                   NHMT                     94.8.15.90
87.11.11.339@Tyto l. longimembris      @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Tyto l. longimembris                               NHMT                     87.11.11.339
1955.6.N.20@Phodilus b. badius@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Phodilus b. badius                                 NHMT                     1955.6.N.20
87.11.11.106@Otus sagittatus@http://dx.doi.org/10.1080/11250003.2012.663003@     Strigidae                         Otus sagittatus                                    NHMT                     87.11.11.106
1977.20.223@Otus i. icterorhynchus@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus i. icterorhynchus                             NHMT                     1977.20.223
1971.16.18@Otus i. icterorhynchus@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus irenae                                        NHMT                     1971.16.18
86.2.1.448@Otus balli  @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus balli                                         NHMT                     86.2.1.448
86.2.1.221@Otus spilocephalus@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus spilocephalus                                 NHMT                     86.2.1.221
98.12.12.56@Otus b. brucei@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus b. brucei                                     NHMT                     98.12.12.56
1965.M.5022@Otus b. brucei@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus f. flammeolus                                 NHMT                     1965.M.5022
1911.12.23.506@Otus senegalensis   @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus senegalensis                                  NHMT                     1911.12.23.506
1955.6.N.20.3897@Otus sunia  @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus sunia                                         NHMT                     1955.6.N.20.3897
1965.M.5002@Otus manadensis elegans @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus manadensis elegans                            NHMT                     1965.M.5002
97.6.14.50@Otus longicornis @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus longicornis                                   NHMT                     97.6.14.50
1955.6.N.20.3887@Otus mindorensis@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus mindorensis                                   NHMT                     1955.6.N.20.3887
1920.6.29.91@Otus angelinae @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus angelinae                                     NHMT                     1920.6.29.91
65.11.29.11@Otus elegans @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus elegans                                       NHMT                     65.11.29.11
86.2.1.204@Otus mantananensis@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus mantananensis                                 NHMT                     86.2.1.204
1946.75.10@Otus magicus insularis@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus magicus insularis                             NHMT                     1946.75.10
73.5.12.1658@Otus enganensis@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus enganensis                                    NHMT                     73.5.12.1658
1931.8.18.368@Otus rutilus@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus rutilus                                       NHMT                     1931.8.18.368
92.8.25.3@Otus brookii@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus brookii                                       NHMT                     92.8.25.3
1949.WHI.1.577@Otus bakkamoena gangeticus      @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus bakkamoena gangeticus                         NHMT                     1949.WHI.1.577
1938.7.15.100@Otus lempiji @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus lempiji                                       NHMT                     1938.7.15.100
1955.6.N.20.3840@Otus mentawi@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus mentawi                                       NHMT                     1955.6.N.20.3840
42.2.15.123@Otus megalotis @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus megalotis                                     NHMT                     42.2.15.123
96.4.15.50@Otus fuliginosus@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus fuliginosus                                   NHMT                     96.4.15.50
1910.5.6.128@Otus leucotis    @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus leucotis                                      NHMT                     1910.5.6.128
1955.6.N.20.3@Otus kennicotti    @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus kennicotti                                    NHMT                     1955.6.N.20.3
88.10.10.477@Otus asio aikenii@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus asio aikenii                                  NHMT                     88.10.10.477
96.5.9.71@Otus cooperi @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus cooperi                                       NHMT                     96.5.9.71
98.7.12.212@Otus trichopsis@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus trichopsis                                    NHMT                     98.7.12.212
1955.6.N.20.4004@Otus choliba luctisonus@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus choliba luctisonus                            NHMT                     1955.6.N.20.4004
98.12.1.3@Otus barbarus@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus barbarus                                      NHMT                     98.12.1.3
88.7.20.58@Otus vermiculatus  @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus vermiculatus                                  NHMT                     88.7.20.58
95.4.1.524@Otus a. atricapillus@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus a. atricapillus                               NHMT                     95.4.1.524
