Putative Entity,NHM Data Portal Link,Article DOI Link,Notes,_id,occurrenceID,catalogNumber,scientificName,typeStatus,locality,country,expedition,collectionCode,kingdom,phylum,class,order,family,genus,specificEpithet,higherClassification,lifeStage,sex,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries
NHMUK 1911.10.1.368,http://data.nhm.ac.uk/specimen/0039a423-8be5-447f-9e51-591f01201bcb,http://dx.doi.org/10.1371/journal.pone.0095296,,1776544,0039a423-8be5-447f-9e51-591f01201bcb,1911.10.1.368,"Scrupocellaria pusilla (Smitt, 1872)",,,Barbados,Hassler Expedition,ZOO,,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Scrupocellaria,pusilla,Bryozoa; Gymnolaemata; Cheilostomatida; Candidae,,,,,
NHMUK 35301,http://data.nhm.ac.uk/specimen/03ce0d05-f7eb-475e-bacf-5bd38f94ee1b,http://dx.doi.org/10.1371/journal.pone.0049584,,1671282,03ce0d05-f7eb-475e-bacf-5bd38f94ee1b,PV OR 35301,Ichthyosaurus sp.,,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 35301,http://data.nhm.ac.uk/specimen/03ce0d05-f7eb-475e-bacf-5bd38f94ee1b,http://dx.doi.org/10.1371/journal.pone.0084709,,1671282,03ce0d05-f7eb-475e-bacf-5bd38f94ee1b,PV OR 35301,Ichthyosaurus sp.,,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
BMNH P24,http://data.nhm.ac.uk/specimen/4052d69a-5076-4dcf-975d-16a14475ca3c,http://dx.doi.org/10.1371/journal.pone.0026964,PV RUP 24 Thecodontosaurus sp Riley & Stutchbury 1836,474259,4052d69a-5076-4dcf-975d-16a14475ca3c,PV RUP 24,"Thecodontosaurus sp. Riley & Stutchbury, 1836",,Bonvilston,Wales,,PAL,,,,,,Thecodontosaurus,sp.,,,,Jurassic,Late Triassic,
BMNH 510007,http://data.nhm.ac.uk/specimen/8076702a-2f26-4c74-be15-b0225b472dce,http://dx.doi.org/10.1371/journal.pone.0056992,PV P 51007,1127020,8076702a-2f26-4c74-be15-b0225b472dce,PV P 51007,"Compagopiscis croucheri Gardiner & Miles, 1994",,Gogo Station; Fitzroy Crossing,Australia,,PAL,,,,Arthrodira,Plourdosteidae,Compagopiscis,croucheri,Arthrodira; Plourdosteidae,,,Devonian,Late Devonian,Late Devonian
NHMUK 1924.5.10.1,http://data.nhm.ac.uk/specimen/07bd21ad-634d-4540-ad57-d018291f2d73,http://dx.doi.org/10.1371/journal.pone.0031838,,2391068,07bd21ad-634d-4540-ad57-d018291f2d73,1924.5.10.1,Crocodylus cataphractus,,"Kigoma, Tanganyika",Tanzania,,ZOO,,,,,Crocodylidae,Crocodylus,cataphractus,Crocodylidae,,,,,
NHMUK 2018*,http://data.nhm.ac.uk/specimen/07cf9d67-9f2c-428b-841d-81b4b9d4a9c7,http://dx.doi.org/10.1371/journal.pone.0031838,,199869,07cf9d67-9f2c-428b-841d-81b4b9d4a9c7,PV OR 2018 *,"Thalassiodracon hawkinsi (Owen, 1838)",Lectotype,Street,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Thalassiodracon,hawkinsi,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria; Plesiosauroidea,,,Jurassic,Early Jurassic,Early Jurassic
NHMUK R3402,http://data.nhm.ac.uk/specimen/0a7b3ce0-62da-4c8a-a086-066ccb18d839,http://dx.doi.org/10.1371/journal.pone.0014075,,2193883,0a7b3ce0-62da-4c8a-a086-066ccb18d839,PV OR 3402,Iguanodon sp,,Tilgate Forest,British Isles,,PAL,Animalia,Chordata,Reptilia,Ornithischia,Iguanodontidae,Iguanodon,sp,Animalia; Chordata; Reptilia; Dinosauria; Ornithischia; Iguanodontidae,,,Cretaceous,Early Cretaceous,Early Cretaceous
BMNH.66.5456,http://data.nhm.ac.uk/specimen/f0adde71-7ffe-4906-9305-7a525b5e4261,http://dx.doi.org/10.1371/journal.pone.0061998,Cloeotis percivali,2010983,f0adde71-7ffe-4906-9305-7a525b5e4261,1966.5456,Cloeotis percivali,,,Zambia,,ZOO,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Cloeotis,percivali,Animalia; Chordata; Vertebrata; Mammalia; Chiroptera; Rhinolophidae; Hipposiderinae,,male,,,
BMNH 1946.9.2.28,http://data.nhm.ac.uk/specimen/a0bc52df-6a46-4735-b8ad-c35ea96eee1d,http://dx.doi.org/10.1371/journal.pone.0080563,,707455,a0bc52df-6a46-4735-b8ad-c35ea96eee1d,1946.9.2.28-33,Lacerta chlorogaster,Types,"Enzeli, South Coast of Caspian Sea",Persia,,ZOO,,,,,Lacertidae,Lacerta,chlorogaster,Lacertidae,,,,,
