Putative Entity,NHM Data Portal Link,Article DOI Link,Notes
NHMUK 1911.10.1.368,http://data.nhm.ac.uk/specimen/0039a423-8be5-447f-9e51-591f01201bcb,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 35301,http://data.nhm.ac.uk/specimen/03ce0d05-f7eb-475e-bacf-5bd38f94ee1b,http://dx.doi.org/10.1371/journal.pone.0049584,
NHMUK 35301,http://data.nhm.ac.uk/specimen/03ce0d05-f7eb-475e-bacf-5bd38f94ee1b,http://dx.doi.org/10.1371/journal.pone.0084709,
BMNH P24,http://data.nhm.ac.uk/specimen/4052d69a-5076-4dcf-975d-16a14475ca3c,http://dx.doi.org/10.1371/journal.pone.0026964,PV RUP 24 Thecodontosaurus sp Riley & Stutchbury 1836
BMNH 510007,http://data.nhm.ac.uk/specimen/8076702a-2f26-4c74-be15-b0225b472dce,http://dx.doi.org/10.1371/journal.pone.0056992,PV P 51007
NHMUK 1924.5.10.1,http://data.nhm.ac.uk/specimen/07bd21ad-634d-4540-ad57-d018291f2d73,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK 2018*,http://data.nhm.ac.uk/specimen/07cf9d67-9f2c-428b-841d-81b4b9d4a9c7,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK R3402,http://data.nhm.ac.uk/specimen/0a7b3ce0-62da-4c8a-a086-066ccb18d839,http://dx.doi.org/10.1371/journal.pone.0014075,
BMNH.66.5456,http://data.nhm.ac.uk/specimen/f0adde71-7ffe-4906-9305-7a525b5e4261,http://dx.doi.org/10.1371/journal.pone.0061998,Cloeotis percivali
BMNH 1946.9.2.28,http://data.nhm.ac.uk/specimen/a0bc52df-6a46-4735-b8ad-c35ea96eee1d,http://dx.doi.org/10.1371/journal.pone.0080563,
NHMUK R16,http://data.nhm.ac.uk/specimen/0bd1d090-cad7-4e1b-a6d8-d999552acbf5,http://dx.doi.org/10.1371/journal.pone.0062421,
NHMUK R16,http://data.nhm.ac.uk/specimen/0bd1d090-cad7-4e1b-a6d8-d999552acbf5,http://dx.doi.org/10.1371/journal.pone.0084709,
NHMUK R6856,http://data.nhm.ac.uk/specimen/0d338d06-b5ea-40e9-ab95-d18169b1c680,http://dx.doi.org/10.1371/journal.pone.0072753,
BMNH 1946.1.1.95,http://data.nhm.ac.uk/specimen/a0e76dc3-6b43-44cb-b747-ff7d16dac4b3,http://dx.doi.org/10.1371/journal.pone.0115679,
BMNH M 85319,http://data.nhm.ac.uk/specimen/114e7dab-b3bd-43a2-9c0f-876ec41ecfc9,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 85318,http://data.nhm.ac.uk/specimen/114502273-5337-4d1b-a7dd-52375f62e684,http://dx.doi.org/10.1371/journal.pone.0049054,
NHMUK 1887.12.9.83,http://data.nhm.ac.uk/specimen/14f74cfb-096f-4d9c-9365-f005c1c2e30e,http://dx.doi.org/10.1371/journal.pone.0095296,identical cat number with deep sea fish
NHMUK 40358,http://data.nhm.ac.uk/specimen/15ddf5c1-6388-4670-8efd-03eceba5a341,http://dx.doi.org/10.1371/journal.pone.0034094,
NHMUK 40358,http://data.nhm.ac.uk/specimen/15ddf5c1-6388-4670-8efd-03eceba5a341,http://dx.doi.org/10.1371/journal.pone.0062421,
NHMUK 41896,http://data.nhm.ac.uk/specimen/15ddf5c1-6388-4670-8efd-03eceba5a341,http://dx.doi.org/10.1371/journal.pone.0062421,
NHMUK R5764,http://data.nhm.ac.uk/specimen/16417ce6-740d-448f-b068-7ac0770ce4b6,http://dx.doi.org/10.1371/journal.pone.0014075,
NHMUK R5764,http://data.nhm.ac.uk/specimen/16417ce6-740d-448f-b068-7ac0770ce4b6,http://dx.doi.org/10.1371/journal.pone.0036745,
NHMUK R5764,http://data.nhm.ac.uk/specimen/16417ce6-740d-448f-b068-7ac0770ce4b6,http://dx.doi.org/10.1371/journal.pone.0045712,
NHMUK 1899.7.1.804,http://data.nhm.ac.uk/specimen/17192353-4381-4bff-b77e-a09fbdc83a04,http://dx.doi.org/10.1371/journal.pone.0095296,
BMNH R14101,http://data.nhm.ac.uk/specimen/31a3426a-84ef-4a3f-a963-666216ae97a1,http://dx.doi.org/10.1371/journal.pone.0007783,PV R 14101 Marasuchus lilloensis Romer 1972
NHMUK 1928.9.13.98,http://data.nhm.ac.uk/specimen/1abf030c-1065-4487-a8f4-fbf64659601b,http://dx.doi.org/10.1371/journal.pone.0095296,
BMNH(E)1038600,http://data.nhm.ac.uk/specimen/31b28f2c-6a1c-482d-bf2a-cf734e56d420,http://dx.doi.org/10.1371/journal.pone.0051220,Principapillatus hitoyensis de Sena Oliveira 2012
NHMUK 47235,http://data.nhm.ac.uk/specimen/1c2fdbcd-b911-4fea-8dbd-dc87a6b935dd,http://dx.doi.org/10.1371/journal.pone.0062421,
NHMUK 47235,http://data.nhm.ac.uk/specimen/1c2fdbcd-b911-4fea-8dbd-dc87a6b935dd,http://dx.doi.org/10.1371/journal.pone.0084709,
NHMUK 47235*,http://data.nhm.ac.uk/specimen/1c2fdbcd-b911-4fea-8dbd-dc87a6b935dd,http://dx.doi.org/10.1371/journal.pone.0034094,
NHMUK 1887.12.9.103,http://data.nhm.ac.uk/specimen/1cc18789-0b0a-458e-ac54-2bdaa1a4bfdf,http://dx.doi.org/10.1371/journal.pone.0095296,
BMNH M 8512,http://data.nhm.ac.uk/specimen/b1d01430-0046-4650-a111-7008f9597b35,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH(E)1038601,http://data.nhm.ac.uk/specimen/11d52b2d8-8fb1-4ade-82e8-949be6bac9ed,http://dx.doi.org/10.1371/journal.pone.0051220,
NHMUK R8646,http://data.nhm.ac.uk/specimen/1d5b08f7-52eb-4f98-b120-c45c540e92df,http://dx.doi.org/10.1371/journal.pone.0072753,
BMNH 1946.1.1.94,http://data.nhm.ac.uk/specimen/b1dab9af-88e9-4381-8e0f-8f6aec0f7ab8,http://dx.doi.org/10.1371/journal.pone.0115679,
BMNH 1946.1.5.20,http://data.nhm.ac.uk/specimen/41e46aa2-25a4-4f96-a92c-71bc00d85229,http://dx.doi.org/10.1371/journal.pone.0042970,
BMNH:1945.9.26.101-104,http://data.nhm.ac.uk/specimen/11f049bfb-49b7-4ef2-8dc9-ee0db9391d3e,http://dx.doi.org/10.1371/journal.pone.0001960,
NHMUK 40095,http://data.nhm.ac.uk/specimen/1f807b1b-db0d-40e0-95bf-97a3d546ca93,http://dx.doi.org/10.1371/journal.pone.0034094,
NHMUK 40095,http://data.nhm.ac.uk/specimen/1f807b1b-db0d-40e0-95bf-97a3d546ca93,http://dx.doi.org/10.1371/journal.pone.0062421,
BMNH 1978.6.15.6,http://data.nhm.ac.uk/specimen/020f6746-b128-4547-a3ce-9683217a17e0,http://dx.doi.org/10.1371/journal.pone.0079155,
BMNH 2007.7.25.30-33,http://data.nhm.ac.uk/specimen/f21101cc-21e6-46ab-ab4c-ccce16664cc4,http://dx.doi.org/10.1371/journal.pone.0079155,
NHMUK 1987.1.18.41,http://data.nhm.ac.uk/specimen/21435955-bf83-45dc-bd74-6eac9aa0a5db,http://dx.doi.org/10.1371/journal.pone.0095296,Typo 1899.7.1.1841
BMNH M 85302,http://data.nhm.ac.uk/specimen/21d1ba5f-4a15-49e9-81a7-6c2f788bdd0c,http://dx.doi.org/10.1371/journal.pone.0049054,
NHMUK 20130091/2-3,http://data.nhm.ac.uk/specimen/7f996e63-0d27-4c3f-a3ea-5ad9af3a7215,http://dx.doi.org/10.1371/journal.pone.0109785,
NHMUK 20130117/1,http://data.nhm.ac.uk/specimen/21e7e949-d9eb-4ede-9908-ef1ee7232205,http://dx.doi.org/10.1371/journal.pone.0109785,
NHMUK 20130117/2-3,http://data.nhm.ac.uk/specimen/21e7e949-d9eb-4ede-9908-ef1ee7232205,http://dx.doi.org/10.1371/journal.pone.0109785,
